counts,AZ_bottom V,AZ_top V,AY V,AX V,cooling PD V
52.0,0.98,-3.21,-0.0875,-0.2525,0.0103759765625
35.0,0.98,-3.21,-0.0875,-0.29875,0.008544921875
47.0,0.98,-3.21,-0.0875,-0.345,0.0054931640625
31.0,0.98,-3.21,-0.0875,-0.39125000000000004,0.0079345703125
28.0,0.98,-3.21,-0.0875,-0.4375,0.008544921875
32.0,0.98,-3.21,-0.0875,-0.48375,0.00823974609375
37.0,0.98,-3.21,-0.0875,-0.53,0.0042724609375
36.0,0.98,-3.21,-0.0875,-0.57625,0.00823974609375
50.0,0.98,-3.21,-0.0875,-0.6225,0.00946044921875
35.0,0.98,-3.21,-0.0875,-0.66875,0.00640869140625
34.0,0.98,-3.21,-0.0875,-0.715,0.0054931640625
36.0,0.98,-3.21,-0.0875,-0.7612500000000001,0.008544921875
34.0,0.98,-3.21,-0.0875,-0.8075000000000001,0.01068115234375
48.0,0.98,-3.21,-0.0875,-0.8537499999999999,0.00732421875
45.0,0.98,-3.21,-0.13500000000000004,0.025,0.01068115234375
39.0,0.98,-3.21,-0.13500000000000004,-0.021249999999999998,0.00823974609375
37.0,0.98,-3.21,-0.13500000000000004,-0.0675,0.00457763671875
35.0,0.98,-3.21,-0.13500000000000004,-0.11375000000000002,0.00823974609375
34.0,0.98,-3.21,-0.13500000000000004,-0.16,0.01068115234375
38.0,0.98,-3.21,-0.13500000000000004,-0.20625000000000002,0.008544921875
41.0,0.98,-3.21,-0.13500000000000004,-0.2525,0.0048828125
39.0,0.98,-3.21,-0.13500000000000004,-0.29875,0.0067138671875
37.0,0.98,-3.21,-0.13500000000000004,-0.345,0.00762939453125
41.0,0.98,-3.21,-0.13500000000000004,-0.39125000000000004,0.00823974609375
37.0,0.98,-3.21,-0.13500000000000004,-0.4375,0.00823974609375
28.0,0.98,-3.21,-0.13500000000000004,-0.48375,0.008544921875
38.0,0.98,-3.21,-0.13500000000000004,-0.53,0.008544921875
30.0,0.98,-3.21,-0.13500000000000004,-0.57625,0.0067138671875
39.0,0.98,-3.21,-0.13500000000000004,-0.6225,0.00701904296875
37.0,0.98,-3.21,-0.13500000000000004,-0.66875,0.00823974609375
46.0,0.98,-3.21,-0.13500000000000004,-0.715,0.00885009765625
39.0,0.98,-3.21,-0.13500000000000004,-0.7612500000000001,0.0067138671875
41.0,0.98,-3.21,-0.13500000000000004,-0.8075000000000001,0.0067138671875
51.0,0.98,-3.21,-0.13500000000000004,-0.8537499999999999,0.00823974609375
42.0,0.98,-3.21,-0.18250000000000002,0.025,0.008544921875
39.0,0.98,-3.21,-0.18250000000000002,-0.021249999999999998,0.00823974609375
32.0,0.98,-3.21,-0.18250000000000002,-0.0675,0.00732421875
35.0,0.98,-3.21,-0.18250000000000002,-0.11375000000000002,0.00823974609375
38.0,0.98,-3.21,-0.18250000000000002,-0.16,0.00885009765625
37.0,0.98,-3.21,-0.18250000000000002,-0.20625000000000002,0.00640869140625
37.0,0.98,-3.21,-0.18250000000000002,-0.2525,0.00732421875
38.0,0.98,-3.21,-0.18250000000000002,-0.29875,0.00946044921875
43.0,0.98,-3.21,-0.18250000000000002,-0.345,0.0067138671875
37.0,0.98,-3.21,-0.18250000000000002,-0.39125000000000004,0.006103515625
35.0,0.98,-3.21,-0.18250000000000002,-0.4375,0.0103759765625
34.0,0.98,-3.21,-0.18250000000000002,-0.48375,0.0067138671875
31.0,0.98,-3.21,-0.18250000000000002,-0.53,0.0048828125
34.0,0.98,-3.21,-0.18250000000000002,-0.57625,0.00701904296875
45.0,0.98,-3.21,-0.18250000000000002,-0.6225,0.009765625
35.0,0.98,-3.21,-0.18250000000000002,-0.66875,0.0079345703125
39.0,0.98,-3.21,-0.18250000000000002,-0.715,0.00640869140625
33.0,0.98,-3.21,-0.18250000000000002,-0.7612500000000001,0.0067138671875
44.0,0.98,-3.21,-0.18250000000000002,-0.8075000000000001,0.00762939453125
49.0,0.98,-3.21,-0.18250000000000002,-0.8537499999999999,0.00762939453125
35.0,0.98,-3.21,-0.23,0.025,0.00762939453125
35.0,0.98,-3.21,-0.23,-0.021249999999999998,0.00823974609375
30.0,0.98,-3.21,-0.23,-0.0675,0.00823974609375
37.0,0.98,-3.21,-0.23,-0.11375000000000002,0.00732421875
53.0,0.98,-3.21,-0.23,-0.16,0.00732421875
41.0,0.98,-3.21,-0.23,-0.20625000000000002,0.0067138671875
36.0,0.98,-3.21,-0.23,-0.2525,0.0067138671875
33.0,0.98,-3.21,-0.23,-0.29875,0.00732421875
38.0,0.98,-3.21,-0.23,-0.345,0.00762939453125
40.0,0.98,-3.21,-0.23,-0.39125000000000004,0.00823974609375
47.0,0.98,-3.21,-0.23,-0.4375,0.00823974609375
42.0,0.98,-3.21,-0.23,-0.48375,0.006103515625
38.0,0.98,-3.21,-0.23,-0.53,0.006103515625
36.0,0.98,-3.21,-0.23,-0.57625,0.00823974609375
41.0,0.98,-3.21,-0.23,-0.6225,0.00701904296875
