x0000,y0000
817.,6300.
818.,6316.6666666667
819.,6476.6666666667
820.,6696.6666666667
821.,6426.6666666667
822.,6526.6666666667
823.,6820.
824.,6686.6666666667
825.,6676.6666666667
826.,6603.3333333333
827.,6596.6666666667
828.,6803.3333333333
829.,6286.6666666667
830.,6336.6666666667
831.,6366.6666666667
832.,6540.
833.,6290.
834.,6776.6666666667
835.,6416.6666666667
836.,6566.6666666667
837.,6660.
838.,6853.3333333333
839.,6766.6666666667
840.,6623.3333333333
841.,6740.
842.,6626.6666666667
843.,6436.6666666667
844.,6506.6666666667
845.,6390.
846.,6460.
847.,6376.6666666667
848.,6730.
849.,6553.3333333333
850.,6786.6666666667
851.,6466.6666666667
852.,6943.3333333333
853.,6683.3333333333
854.,6703.3333333333
855.,6866.6666666667
856.,6720.
857.,6453.3333333333
858.,6493.3333333333
859.,6590.
860.,6880.
861.,6316.6666666667
862.,6600.
863.,6226.6666666667
864.,6563.3333333333
865.,6440.
866.,6216.6666666667
867.,6440.
868.,6333.3333333333
869.,6843.3333333333
870.,6430.
871.,6600.
872.,6190.
873.,6556.6666666667
874.,6766.6666666667
875.,6676.6666666667
876.,6640.
877.,6333.3333333333
878.,6516.6666666667
879.,6450.
880.,6716.6666666667
881.,6816.6666666667
882.,6796.6666666667
883.,6703.3333333333
884.,6486.6666666667
885.,6613.3333333333
886.,6783.3333333333
887.,6573.3333333333
888.,6543.3333333333
889.,6783.3333333333
890.,6743.3333333333
891.,6703.3333333333
892.,6720.
893.,7016.6666666667
894.,6770.
895.,6610.
896.,6373.3333333333
897.,6326.6666666667
898.,6726.6666666667
899.,6580.
900.,6413.3333333333
901.,6500.
902.,6560.
903.,6396.6666666667
904.,6523.3333333333
905.,7096.6666666667
906.,6680.
907.,6830.
908.,6436.6666666667
909.,6756.6666666667
910.,6213.3333333333
911.,6656.6666666667
912.,6390.
913.,6286.6666666667
914.,6416.6666666667
915.,6526.6666666667
916.,6553.3333333333
917.,6573.3333333333
918.,6566.6666666667
919.,6220.
920.,6356.6666666667
921.,6686.6666666667
922.,6466.6666666667
923.,6426.6666666667
924.,6713.3333333333
925.,6840.
926.,6963.3333333333
927.,6926.6666666667
928.,6766.6666666667
929.,6890.
930.,6536.6666666667
931.,6826.6666666667
932.,6703.3333333333
933.,7156.6666666667
934.,6646.6666666667
935.,6510.
936.,6816.6666666667
937.,6420.
938.,6450.
939.,6660.
940.,6560.
941.,6160.
942.,6536.6666666667
943.,6713.3333333333
944.,6773.3333333333
945.,6726.6666666667
946.,6770.
947.,6616.6666666667
948.,6483.3333333333
949.,6713.3333333333
950.,6330.
951.,6693.3333333333
952.,6626.6666666667
953.,6643.3333333333
954.,6773.3333333333
955.,7053.3333333333
956.,6916.6666666667
957.,6946.6666666667
958.,6763.3333333333
959.,6516.6666666667
960.,6926.6666666667
961.,6840.
962.,6616.6666666667
963.,6793.3333333333
964.,6486.6666666667
965.,6583.3333333333
966.,6686.6666666667
967.,6676.6666666667
968.,6760.
969.,6646.6666666667
970.,6840.
971.,6826.6666666667
972.,6513.3333333333
973.,6536.6666666667
974.,6823.3333333333
975.,6670.
976.,6853.3333333333
977.,6856.6666666667
978.,6766.6666666667
979.,6730.
980.,6496.6666666667
981.,6680.
982.,6786.6666666667
983.,7070.
984.,6556.6666666667
985.,6676.6666666667
986.,7243.3333333333
987.,7213.3333333333
988.,7163.3333333333
989.,6990.
990.,7286.6666666667
991.,7053.3333333333
992.,7190.
993.,6786.6666666667
994.,6840.
995.,6803.3333333333
996.,7120.
997.,6956.6666666667
998.,7053.3333333333
999.,6946.6666666667
1000.,7006.6666666667
1001.,6960.
1002.,7183.3333333333
1003.,7193.3333333333
1004.,6956.6666666667
1005.,5683.3333333333
1006.,5793.3333333333
1007.,6283.3333333333
1008.,6300.
1009.,6593.3333333333
1010.,6650.
1011.,6843.3333333333
1012.,6960.
1013.,6886.6666666667
1014.,7156.6666666667
1015.,7180.
1016.,7226.6666666667
1017.,7083.3333333333
1018.,7356.6666666667
1019.,7260.
1020.,6993.3333333333
1021.,7366.6666666667
1022.,7383.3333333333
1023.,7580.
1024.,7366.6666666667
1025.,7433.3333333333
1026.,7340.
1027.,7243.3333333333
1028.,7583.3333333333
1029.,7306.6666666667
1030.,7173.3333333333
1031.,7153.3333333333
1032.,6926.6666666667
1033.,7246.6666666667
1034.,6970.
1035.,7160.
1036.,7133.3333333333
1037.,7033.3333333333
1038.,7116.6666666667
1039.,7253.3333333333
1040.,7266.6666666667
1041.,7416.6666666667
1042.,7486.6666666667
1043.,7413.3333333333
1044.,7736.6666666667
1045.,7580.
1046.,7243.3333333333
1047.,7196.6666666667
1048.,7590.
1049.,7506.6666666667
1050.,7583.3333333333
1051.,7280.
1052.,7130.
1053.,7393.3333333333
1054.,6986.6666666667
1055.,7420.
1056.,7123.3333333333
1057.,7440.
1058.,7493.3333333333
1059.,7403.3333333333
1060.,7576.6666666667
1061.,7470.
1062.,7356.6666666667
1063.,7243.3333333333
1064.,7170.
1065.,7336.6666666667
1066.,7310.
1067.,7030.
1068.,7283.3333333333
1069.,7496.6666666667
1070.,7226.6666666667
1071.,7313.3333333333
1072.,7310.
1073.,7366.6666666667
1074.,7306.6666666667
1075.,7650.
1076.,7183.3333333333
1077.,7533.3333333333
1078.,7370.
1079.,7286.6666666667
1080.,7396.6666666667
1081.,7523.3333333333
1082.,7406.6666666667
1083.,7656.6666666667
1084.,7323.3333333333
1085.,7366.6666666667
1086.,7223.3333333333
1087.,7053.3333333333
1088.,7096.6666666667
1089.,7023.3333333333
1090.,6900.
1091.,7443.3333333333
1092.,7523.3333333333
1093.,6936.6666666667
1094.,7346.6666666667
1095.,7513.3333333333
1096.,7456.6666666667
1097.,7066.6666666667
1098.,7413.3333333333
1099.,7030.
1100.,7196.6666666667
1101.,7016.6666666667
1102.,6800.
1103.,6923.3333333333
1104.,7076.6666666667
1105.,7183.3333333333
1106.,7316.6666666667
1107.,7303.3333333333
1108.,7196.6666666667
1109.,7130.
1110.,7526.6666666667
1111.,7043.3333333333
1112.,7350.
1113.,7070.
1114.,7473.3333333333
1115.,7356.6666666667
1116.,7306.6666666667
1117.,7123.3333333333
1118.,7250.
1119.,6870.
1120.,7010.
1121.,6950.
1122.,7330.
1123.,7106.6666666667
1124.,6933.3333333333
1125.,7160.
1126.,7170.
1127.,7040.
1128.,7270.
1129.,7133.3333333333
1130.,7183.3333333333
1131.,7093.3333333333
1132.,6873.3333333333
1133.,7046.6666666667
1134.,6890.
1135.,7066.6666666667
1136.,6983.3333333333
1137.,6626.6666666667
1138.,6713.3333333333
1139.,6796.6666666667
1140.,6766.6666666667
1141.,7366.6666666667
1142.,7090.
1143.,7116.6666666667
1144.,6740.
1145.,7146.6666666667
1146.,7010.
1147.,6833.3333333333
1148.,7056.6666666667
1149.,6990.
1150.,6760.
1151.,6413.3333333333
1152.,6883.3333333333
1153.,7050.
1154.,6770.
1155.,6816.6666666667
1156.,6686.6666666667
1157.,6616.6666666667
1158.,6813.3333333333
1159.,7176.6666666667
1160.,7010.
1161.,6896.6666666667
1162.,6680.
1163.,7043.3333333333
1164.,6740.
1165.,7103.3333333333
1166.,7166.6666666667
1167.,7063.3333333333
1168.,6760.
1169.,6656.6666666667
1170.,6913.3333333333
1171.,6686.6666666667
1172.,6973.3333333333
1173.,7043.3333333333
1174.,7310.
1175.,6893.3333333333
1176.,7176.6666666667
1177.,6876.6666666667
1178.,7043.3333333333
1179.,6980.
1180.,7106.6666666667
