x0000,y0000
455.,7186.6666666667
456.,7203.3333333333
457.,6990.
458.,7130.
459.,6943.3333333333
460.,7406.6666666667
461.,7220.
462.,7223.3333333333
463.,7360.
464.,7186.6666666667
465.,7180.
466.,7316.6666666667
467.,7063.3333333333
468.,6963.3333333333
469.,7066.6666666667
470.,6616.6666666667
471.,6843.3333333333
472.,7476.6666666667
473.,7763.3333333333
474.,7696.6666666667
475.,7503.3333333333
476.,7586.6666666667
477.,7273.3333333333
478.,6520.
479.,6590.
480.,7083.3333333333
481.,7013.3333333333
482.,7236.6666666667
483.,7506.6666666667
484.,7406.6666666667
485.,7896.6666666667
486.,7903.3333333333
487.,7666.6666666667
488.,7820.
489.,7793.3333333333
490.,7760.
491.,7993.3333333333
492.,7556.6666666667
493.,7756.6666666667
494.,7353.3333333333
495.,7403.3333333333
496.,7743.3333333333
497.,7583.3333333333
498.,7936.6666666667
499.,7970.
500.,7910.
501.,5286.6666666667
502.,5960.
503.,6393.3333333333
504.,6856.6666666667
505.,6763.3333333333
506.,7076.6666666667
507.,7193.3333333333
508.,7530.
509.,7536.6666666667
510.,7436.6666666667
511.,7830.
512.,7630.
513.,7673.3333333333
514.,7686.6666666667
515.,8033.3333333333
516.,7916.6666666667
517.,7840.
518.,8190.
519.,7570.
520.,7746.6666666667
521.,7710.
522.,8423.3333333333
523.,7966.6666666667
524.,8136.6666666667
525.,8036.6666666667
526.,7893.3333333333
527.,8130.
528.,8116.6666666667
529.,8186.6666666667
530.,7900.
531.,8093.3333333333
532.,7953.3333333333
533.,8076.6666666667
534.,7930.
535.,7910.
536.,7516.6666666667
537.,8046.6666666667
538.,8106.6666666667
539.,7816.6666666667
540.,7883.3333333333
541.,8066.6666666667
542.,8030.
543.,7833.3333333333
544.,8126.6666666667
545.,7810.
546.,8053.3333333333
547.,8123.3333333333
548.,7960.
549.,8006.6666666667
550.,7893.3333333333
551.,8153.3333333333
552.,7390.
553.,8186.6666666667
554.,7996.6666666667
555.,7593.3333333333
556.,7906.6666666667
557.,7900.
558.,7926.6666666667
559.,7533.3333333333
560.,7963.3333333333
561.,7683.3333333333
562.,7606.6666666667
563.,8143.3333333333
564.,7706.6666666667
565.,7860.
566.,7573.3333333333
567.,7430.
568.,6996.6666666667
569.,7050.
570.,7046.6666666667
571.,6863.3333333333
572.,6646.6666666667
573.,6633.3333333333
574.,6556.6666666667
575.,6156.6666666667
576.,6166.6666666667
577.,6546.6666666667
578.,6496.6666666667
579.,6740.
580.,7023.3333333333
581.,6980.
582.,7453.3333333333
583.,7473.3333333333
584.,7703.3333333333
585.,7473.3333333333
586.,7613.3333333333
587.,7536.6666666667
588.,7310.
589.,7683.3333333333
590.,7593.3333333333
591.,7863.3333333333
592.,7563.3333333333
593.,7693.3333333333
594.,7890.
595.,7576.6666666667
596.,8060.
597.,7806.6666666667
598.,7976.6666666667
599.,7786.6666666667
600.,8080.
601.,5333.3333333333
602.,5813.3333333333
603.,6400.
604.,6246.6666666667
605.,6753.3333333333
606.,6836.6666666667
607.,6956.6666666667
608.,7166.6666666667
609.,7373.3333333333
610.,7656.6666666667
611.,7780.
612.,7513.3333333333
613.,7650.
614.,7863.3333333333
615.,7623.3333333333
616.,7980.
617.,7846.6666666667
618.,7546.6666666667
619.,7876.6666666667
620.,7826.6666666667
621.,7766.6666666667
622.,8430.
623.,8090.
624.,7726.6666666667
625.,7956.6666666667
626.,7856.6666666667
627.,8150.
628.,8086.6666666667
629.,7956.6666666667
630.,7863.3333333333
631.,7890.
632.,7823.3333333333
633.,7693.3333333333
634.,8086.6666666667
635.,7716.6666666667
636.,8066.6666666667
637.,7646.6666666667
638.,7633.3333333333
639.,7650.
640.,7560.
641.,7873.3333333333
642.,8073.3333333333
643.,8090.
644.,7970.
645.,8226.6666666667
646.,7940.
647.,7826.6666666667
648.,7803.3333333333
649.,7700.
650.,7883.3333333333
651.,7753.3333333333
652.,7806.6666666667
653.,7800.
654.,7436.6666666667
655.,7400.
656.,7500.
657.,7896.6666666667
658.,7600.
659.,7566.6666666667
660.,7266.6666666667
661.,7536.6666666667
662.,7643.3333333333
663.,7816.6666666667
664.,7203.3333333333
665.,7356.6666666667
666.,7633.3333333333
667.,7630.
668.,7596.6666666667
669.,7480.
670.,7650.
671.,7390.
672.,7370.
673.,7753.3333333333
674.,7586.6666666667
675.,7670.
676.,7783.3333333333
677.,7646.6666666667
678.,7580.
679.,7786.6666666667
680.,7703.3333333333
681.,7730.
682.,7953.3333333333
683.,7566.6666666667
684.,7583.3333333333
685.,7986.6666666667
686.,7893.3333333333
687.,7760.
688.,7933.3333333333
689.,7556.6666666667
690.,7840.
691.,7676.6666666667
692.,7620.
693.,7846.6666666667
694.,7440.
